"","artist_name","track_name","lyrics"
"915","John Lennon","Imagine - Evolution Documentary","imagine theres no heavenits easy if you tryno hell below usabove us only skyimagine all the peopleliving for todayiimagine theres no countriesit isnt hard to donothing to kill or die forand no religion tooimagine all the peopleliving life in peaceyouyou may say im a dreamerbut im not the only onei hope someday youll join usand the world will be as oneimagine no possessionsi wonder if you canno need for greed or hungera brotherhood of manimagine all the peoplesharing all the worldyouyou may say im a dreamerbut im not the only onei hope someday youll join usand the world will live as one"
"919","Maroon 5","Sugar - Edited","im hurting baby im broken downi need your loving loving i need it nowwhen im without you im something weakyou got me begging begging im on my kneesi dont wanna be needing your lovei just wanna be deep in your loveand its killing me when youre awayooh babycause i really dont care where you arei just wanna be there where you areand i gotta get one little tastesugar yes pleasewont you come and put it down on me?im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my lifeyour sugar yes pleasewont you come and put it down on me?babe my broken pieces you pick them updont leave me hanging hanging come give me somewhen im without you im so insecureyou are the one thing one thing im living fori dont wanna be needing your lovei just wanna be deep in your loveand its killing me when youre awayooh babycause i really dont care where you arei just wanna be there where you areand i gotta get one little tastesugar yes pleasewont you come and put it down on me?im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my lifeyour sugar yes please your sugar yes pleasewont you come and put it down on me?yeahi want that red velveti want that sugar sweetdont let nobody touch it unless that somebodys mei gotta be a man there aint no other waycause girl youre hotter than a southern california daynever wanna play no games you dont gotta be afraiddont give me all that shy shitno makeup on thats my sugarsugar yes please pleasewont you come and put it down on me? down on meim right here cause i need im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my life yeahyour sugar yes please your sugar yes pleasewont you come and put it down on me? down on mesugar yes pleasewont you come and put it down on me?im right here cause i need im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my lifeyour sugar yes please your sugar yes pleasewont you come and put it down on me?down on me down on me ooh"
"920","Jeremy Zucker","orchid","i cant do this anymorei hope you make it past new yearswith a smile onyourfacecountin the dayssince ive known youwhen your liferearrangedand i still just dont knowwhere the fuck else id gocause its not cancerwe just wish it wasyoure beautiful beautifulthats what you areand i still dont knowhow we fell in loveyoure beautiful beautifuli swear its trueand i just dont knowwhat else to doyoull fly alone at thanksgivingto get out of new yorkim just so happy youre livingwouldnt ask you for morebut you still just dont knowhow to make some place homecause we couldve had itdont you wish we did?youre beautiful beautifulthats what you areand i still dont knowhow we fell in loveyoure beautiful beautifuli swear its trueand i just dont knowwhat else to dotwo three fouryoure beautiful beautifuli swear its trueand i just dont knowwhat else to dotell me are westill the only to fall?youre beautiful"
"924","Gorillaz","People","x2people peopleeverybody peopleeverybody making a soundpeople peopleeverybody peopleeverybody standing their groundif you dream to the topyoull be over the edgeif you get it on sideyoull be taking a ditchyoull be loving our lovebut you dont know whyits the term of the dayso we never exciteif your heart isnt thereso you might as well sayi know it i got it but i know that time will set me together x2people peopleeverybody peopleeverybody making a soundpeople peopleeverybody peopleeverybody standing their groundoh yeahif you dream to the topyoull be over the edgeif you get it on sideyoull be taking a ditchyoull be loving our lovebut you dont know whyits the term of the dayso we never exciteif your heart isnt thereso you might as well sayi know it i got it but i know that time will set me together x2people peopleeverybody peopleeverybody making a soundpeople peopleeverybody peopleeverybody standing their ground"
"925","Slipknot","Be Prepared for Hell","i cant get out or ill diejust let me beill never be neverbe prepared for hell and i say oh welljust tell me when i can open my eyes and realize ive diedbe prepared for hell and i say oh welljust tell me when i can open my eyes and realize ive died"
"926","Jax Jones","Play (with Years & Years)","how long til you play me the songthat will make me belong to you?one dance with my baby tonightand well dance til the night is throughwhat you what you gon do?i used to be so ready to runmy philosophy dont let nobody come too closeto handle my lovedont let it showi want it to be you oohdiving into my oceana brand new emotion come true oohdont let this night dont let this night gohow long til you play me the songthat will make me belong to you?one dance with my baby tonightand well dance til the night is through danceplay me the song play me the songthat will make me belongplay me the song play me the songthat will make danceplay me the song play me the songthat will make me belongplay me the song play me the songthat will makeanother chance to make it alrightno circumstance could ever break thisthis spell you have forever on meon me on usi want it to be you oohdiving into my oceana brand new emotion come true oohdont let this night dont let this night gohow long til you play me the songthat will make me belong to you?one dance with my baby tonightand well dance til the night is through danceplay me the song play me the songthat will make me belongplay me the song play me the songthat will make danceplay me the song play me the songthat will make me belongplay me the song play me the songthat will maketil the night is throughand you play me the songtil the night is throughand you play me the song that will make me belonghow long til you play me the songthat will make me belong to you?one dance with my baby tonightand well dance til the night is through danceplay me the song play me the songthat will make me belongplay me the song play me the songthat will make danceplay me the song play me the songthat will make me belongplay me the song play me the songthat will make"
"927","Maroon 5","This Love","i was so high i did not recognizethe fire burning in her eyesthe chaos that controlled my mindwhispered goodbye as she got on a planenever to return againbut always in my heartthis love has taken its toll on meshe said goodbye too many times beforeand her heart is breaking in front of meand i have no choice cause i wont say goodbye anymoreoh oh ohh oh oh ohhoh oh oh ohhi tried my best to feed her appetitekeep her coming every nightso hard to keep her satisfied ohkeep playing love like it was just a gamepretending to feel the samethen turn around and leave againbut ohthis love has taken its toll on meshe said goodbye too many times beforeand her heart is breaking in front of meand i have no choice cause i wont say goodbye anymoreoh oh ohh oh oh ohhoh oh oh ohhill fix these broken things repair your broken wingsand make sure everythings alright its alright its alrightmy pressure on your hips sinking my fingertipsinto every inch of you cause i know thats what you want me to dothis love has taken its toll on meshe said goodbye too many times beforeand her heart is breaking in front of meand i have no choice cause i wont say goodbye anymorethis love has taken its toll on meshe said goodbye too many times beforeand my heart is breaking in front of meshe said goodbye too many times beforethis love has taken its toll on meshe said goodbye too many times beforeand her heart is breaking in front of mei have no choice cause i wont say goodbye anymore"
"928","Paul McCartney","Darkroom - Remastered 2011","got a placewe can golights are lowlet me show you to my darkroomcome a-come along with me to my darkroomcome a-come along with me to my darkroomcome a-come along with me to my darkroomcome a-come along with me to my darkroomah come a-come a-come a-come a-come oncome a-come alongcah-cah-cah-cah-cah-cah-cah-cah-cah-cah-cah come onahgot a placewe can golights are lowlet me show you to my darkroomcome a-come along with me to my darkroom got a placecome a-come along with me to my darkroom we can gogot a placewe can golights are lowlet me show you to my darkroomcome a-come along with me to my darkroom"
"935","Maroon 5","She Will Be Loved - Radio Mix","beauty queen of only eighteenshe had some trouble with herselfhe was always there to help hershe always belonged to someone elsei drove for miles and milesand wound up at your doorive had you so many timesbut somehow i want morei dont mind spending every dayout on your corner in the pouring rainlook for the girl with the broken smileask her if she wants to stay a whileand she will be lovedand she will be lovedtap on my window knock on my door iwant to make you feel beautifuli know i tend to get so insecuredoesnt matter anymoreits not always rainbows and butterfliesits compromise that moves us along yeahmy heart is full and my doors always openyou come any time you want yeahi dont mind spending every dayout on your corner in the pouring rainlook for the girl with the broken smileask her if she wants to stay a whileand she will be lovedand she will be lovedand she will be lovedand she will be lovedi know where you hidealone in your carknow all of the things that make you who you arei know that goodbye means nothing at allcomes back and makes me catch herevery time she falls yeahtap on my window knock on my door iwant to make you feel beautifuli dont mind spending every dayout on your corner in the pouring rain ohlook for the girl with the broken smileask her if she wants to stay a whileand she will be lovedand she will be lovedand she will be lovedand she will be lovedi dont mind spending every dayout on your corner in the pouring rainplease dont try so hard to say goodbye"
"939","Justin Timberlake","Rock Your Body","dont be so quick to walk awaydance with mei wanna rock your bodyplease staydance with meyou dont have to admit you wanna playdance with mejust let me rock youtill the break of daydance with meguy time but i dont mindjust wanna rock you girlill have whatever you havecome on just give it a whirlsee ive been watching youi like the way you moveso go ahead girl just dothat ass shaking thing you doso you grab your girlsand you grab a couple moreand you all come meet mein the middle of the floorsaid the air is thick its smelling rightso you pass to the left and you sail to the rightdont be so quick to walk awaydance with mei wanna rock your bodyplease staydance with meyou dont have to admit you wanna playdance with mejust let me rock youtill the break of daydance with mei dont mean no harmjust wanna rock you girlmake a move but be calmlets go lets give it a whirlsee it appears to meyou like the way i moveill tell you what im gonna dopull you close and share my grooveso you grab your girlsand you grab a couple moreand you all come meet mein the middle of the floorsaid the air is thick its smelling rightso you pass to the left and you sail to the rightdont be so quick to walk awaydance with mei wanna rock your bodyplease staydance with meyou dont have to admit you wanna playdance with mejust let me rock youtill the break of daydance with metalk to me boyno disrespect i dont mean no harmtalk to me boyi cant wait to have you in my armstalk to me boyhurry up cause youre taking too longtalk to me boybet ill have you naked by the end of this songso what did you come for?i came to dance with youand you know that you dont wanna hit the floori came to romance with youyoure searching for love forever moreits time to take a chanceif love is here on the floor girlheydance with meyeahcome on babydont be so quick to walk awaydont walk awaycome on anddance with mei wanna rock your bodylet me rock your bodyplease staycome on anddance with meyou dont have to admit you wanna playyou dont have to admit you wanna play justdance with mejust let me rock youdo do do dotill the break of daycome on anddance with metalk to me boyno disrespect i dont mean no harmtalk to me boybut i cant wait to have you in my armstalk to me boyhurry up cause youre taking too longcome on babytalk to me boybet ill have you naked by the end of this songdont be so quick to walk awayjust think of me and youdont be so quick to walk awaywe could do somethingdont be so quick to walk awayi like the way you look right nowdont be so quick to walk awaycome over here babyare you feeling me?lets do somethinglets make a betcause i gotta have you naked by the end of this song"
"941","Nipsey Hussle","Monster","as we continue onthe muthafuckin marathon continuesevery thousand followers on twitter got a leak for you niggasits cause i do thishusslegossip gossip all i hear is gossipbut everybody know that im from crenshaw and slausonin this marathon since my mixtape dropped inthis is for them niggas wondering if i can top ituh im ill as shit fo sho thomy benz coupe stupid dodoshowboat give me cash fo shoif it aint my nigga no gofresh back from the fuckin uki stayed for one week and got paid each dayshopping in harrods heard the white boys saythat thats nipsey hussle hes massive in the statescheck out the odds and the obstacles ive conqueredtherefore my progress makes me a monsterfirst one to make a name without the doctors co-signim fine the streets is my sponsorand they hold me down quite wellcant ya tell pound sign fellfollow me holla my name at the showthis is dedicated to the girls front rowwhen im rocking stages and my pants sag lowi aint mad go and grab and go for what you knowbright lights different cities every nightlivin that type of life all the pretty girls likefuck but dont wife cause they just not rightthe type to sell their soul to stand in the spotlightlong flights got me thinking bout the typeof thoughts through the heads of my niggas that caught lifewe all got balls they caught strikesand we dont got swag we got stripesi took my turf to new heightsand im so slauson ave i got it tattooed twicenigga huh the the marathon continuesoh the marathon continuesoh the marathon continuesso act like you know bitchbitches niggas hoescrips and bloodsfake crips and bloodsrappers singersall you niggas get on this marathonroad to the riches you know huh huhhussle husslegossip gossip all i hear is gossipbut all you niggas know that im from crenshaw and slausonits the leak niggasee you niggas at 55000"
"946","French Montana","Alright","bout to give my money up fck with mebitches hatin on the low fck with mewhen you see me alright alright alrightbitches wanna beat me alright alright alrightalright alright alright alright alrightyou gonna see me in thatthat white on white on white alright alright alrightwill you see me alright alright alrightbitches wanna beat me alright alright alrightgot got no haters insidei post the love pitch your damn looking on my lightswait till i get them beans wait i love that lightthey they dont think i breathe basketball and bouncing all nightsee them guns better tipple you think your bitch callbut i got all the siblingsbitch like i got all my christians like chairs in the churchthis is my true religion like pens on my buttthey pray for my fall but i didnt wanna turn upi didnt wanna turn up make rin like some turn up tell me where my benz at?my grandma on medicate my mama need them bills paidim tryin to keep my hale lay my hale laybout to give my money up fck with mebitches hatin on the low fck with mewhen you see me alright alright alrightbitches wanna beat me alright alright alrightalright alright alright alright alrightyou gonna see me in thatthat white on white on white alright alright alrightwill you see me alright alright alrightbitches wanna beat me alright alright alrightwe are gathered here tonight in a room full of cheesewith them haters on the rightdear dear dear heavenly father thank for lie in homelessbut i aint got no rufo with my head when im rolling rollingill be sliding over this seancause juice in his homes my crib of three showsill be balling like the roseim alright i sip in i roll dice them shall daysthem long nights take her aroundthe worlds twice nigga reach their filled outi pull tax i am blux red died that red gameand here alive lot of face on a watch damnbout to give my money up fck with mebitches hatin on the low fck with mewhen you see me alright alright alrightbitches wanna beat me alright alright alrightalright alright alright alright alrightyou gonna see me in thatthat white on white on white alright alright alrightwill you see me alright alright alrightbitches wanna beat me alright alright alrightget get get get your money up hoe stop pleasethe shit so easy look no handsget your money up hoe stop pleaseshit so easy look no handsim tryin to get money bagsin the club like halla bandred-red boneas the mall in like brought manthe war show on front roll my bease not front door26 in my head curl a poe boy i need a rich girlbout to give my money up fck with mebitches hatin on the low fck with mewhen you see me alright alright alrightbitches wanna beat me alright alright alrightalright alright alright alright alrightyou gonna see me in thatthat white on white on white alright alright alrightwill you see me alright alright alrightbitches wanna beat me alright alright alright"
"947","Kylie Minogue","If Only","if innocence was something that could be kepti turned around and the whole world spun for meif i didnt tire of the places i wanna forgetso we dont look downif every easy way in had an easy way outif every step up had no step downwhen i feel it you can feel itso we dont look downtwo hearts wanna left to be lonely if onlytrue love was waiting in the wings if onlytwo hearts wanna left to be lonely if onlytrue love was waiting in the wings only if onlyonly if onlyonly if onlyif some things had never been saidif little lines in the sand could comfort meand erase memories i need to forgetso we dont look downif innocence was something that could be kepti turned around and the whole world spun for mewhen i feel it you can feel it i can feel itif i set you free and you actually came back to metwo hearts wanna left to be lonely if onlytrue love was waiting in the wings if onlytwo hearts wanna left to be lonely if onlytrue love was waiting in the wings only if onlyif i set you free and you actually came back to meif onlytwo hearts wanna left to be lonely if onlytrue love was waiting in the wings if onlytwo hearts wanna left to be lonely if onlytrue love was waiting in the wings only if onlyonly if onlyonly if only"
"948","Lil Uzi Vert","Top","who the fuck are you? ayywho the fuck are you? ayywho the fuck are you?first i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayywhy you walk so cool? ayy thousand dollar shoes ayyhunnid on my jewels ayy i got all these groupiesfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayyfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayyfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayywhy you walk so cool? ayy thousand dollar shoes ayyfuck bitches in twos ayy fuck bitches in twos ayyfucked that bitch on monday fuck her sister tuesdayyou is not gon do a thing with my squad like wu-tang ayyim gonna knuck if i bucklet a lil nigga try ushit a nigga with a truckleave a lil nigga so stuckbrittany turned me to a slutbrittany turned me to a slutbrittany turned me to a sluthit the bitch all on her back ayy never put it in her butt ayyput that shit all in her pussy ayy leave that shit all in her gut ayyfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayywhy you walk so cool? ayy thousand dollar shoes ayyhunnid on my jewels ayy i got all these groupiesfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayyfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayysometimes fear of god ayysaint laurent the boots ayyi feel like im dro ayy car aint got no roof ayythat bitch kinda cute ayy blow me like a flute ayydiamonds drippin they so wet i gotta wipe my jewels ayyi cant wife no fool ayy got no time for mood swingsspent like 50 on the ring and i brought two ringsremember that bitch aint want fuck menow that bitch wanna just fuck meremember that bitch said im dustylook at that hoe like you ugly ayyyour man aint got no money ayyi just be smokin the dope skeme he be smokin the clovemy brother whippin the stovejump in the crowd at my show fucked the bitch in the front rowfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayywhy you walk so cool? ayy thousand dollar shoes ayyhunnid on my jewels ayy i got all these groupiesfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayyfirst i drop my top ayy then i swerve my coupe ayycounting all these bands ayy who the fuck are you? ayycannon cannon went crazytreez what up treezayy ayy ayy ayy uhhotel party for these bad hoesfor these bad hoes that tripayy ayy"
"949","Andy Williams","Let It Be Me (with Claudine Longet)","let it be me lyrics god bless the day i found youi want to stay around youand so i beg youlet it be medont take this heaven from onewell if you must cling to someonenow and foreverlet it be meeach time we meet lovei find complete lovewithout your sweet lovetell me what would life be?so never leave me lonelyjust tell me you love me onlyand that youll alwayslet it be meeach time we meet lovei find complete loveoh without your sweet lovetell me what would life be?so never leave me lonelyand just tell me you love me onlyand that youll alwayslet it be meand that youll alwayslet it be meso never leave me lonelytell me you love me onlyand that youll alwayslet it be me"
"950","Mariah Carey","Obsessed","i was like why are you so obsessed with me?so oh oh oh oh ay ay ayso oh oh oh oh ay ay ay ayso oh oh oh oh will the real mc pleaseso oh oh oh oh step to the mic?so oh oh oh oh mc mcso oh oh oh oh you need a mcso oh oh oh oh place to beso oh oh oh oh mc the mcall up in the blogs saying we met at the barwhen i dont even know who you aresaying we up in your house saying im up in your carbut you in la and im out at jermainesim up in the a you so so lameand no one here even mentions your nameit must be the weed it must be the ecause you be popping heard you get it poppingooh whoa oh ohwhy you so obsessed with me? boy i wanna knowlying that youre sexing me when everybody knowsits clear that youre upset with me oh oh ohfinally found a girl that you couldnt impresslast man on the earth still couldnt get thisyoure delusional youre delusionalboy youre losing your mindits confusing yo youre confused you knowwhy you wasting your time?got you all fired up with your napoleon complexseeing right through you like youre bathing in windexoh oh ohboy why you so obsessed with me?so oh oh oh oh oh oh ohso oh oh oh oh and all my ladies singso oh oh oh ohso oh oh oh oh and all the girls sayo-o-o-o-o-o-o-o-o-o obsessedo-o-o-o-o-o-o-o-o-o obsessedo-o-o-o-o-o-o-o-o-o obsessedo-o-o-o-o-o-o-o-o-o obsessedyou on your job you hating hardaint gon feed you ima let you starvegasping for air im ventilationyou out of breath hope you aint waitingtelling the world how much you miss mebut we never were so why you tripping?you a mom and pop im a corporationim the press conference you a conversationooh whoa oh whoa whoawhy you so obsessed with me? and boy i wanna knowlying that youre sexing me when everybody knowsits clear that youre upset with me oh oh ohfinally found a girl that you couldnt impresslast man on the earth still couldnt get thisyoure delusional youre delusionalboy youre losing your mind mindits confusing yo youre confused you know?why you wasting your time? timegot you all fired up with your napoleon complexseeing right through you like youre bathing in windexoh oh ohboy why you so obsessed with me?so oh oh oh oh oh oh ohso oh oh oh oh and all my ladies singso oh oh oh oh ooh ooh oohso oh oh oh oh and all the girls sayo-o-o-o-o-o-o-o-o-o obsessedo-o-o-o-o-o-o-o-o-o obsessedo-o-o-o-o-o-o-o-o-o obsessedo-o-o-o-o-o-o-o-o-o obsessedooh whoa oh whoa whoahey hes all up in my george foremanwhy you so obsessed with me? boy i wanna knowlying that youre sexing me when everybody knowslying that youre sexing mimiits clear that youre upset with me oh oh oh ehfinally found a girl that you couldnt impresslast man on the earth still couldnt get this noyoure delusional youre delusionalhes all up in my george foremanboy youre losing your mindits confusing yo youre confused you know?why you wasting your time?got you all fired up with your napoleon complexseeing right through you like youre bathing in windexyou love me you love me you really really love me"
"951","Brenda Lee","I Want to Be Wanted","i want to be wanted lyrics wanted wantedalone so alone that i could cryi want to be wanted wantedalone watching lovers passing byi want to be wantedwhen i am kissedi want his lips to really kiss mewhen were aparti want his heart to really miss mei want to knowhe loves me so his eyes are mistingthats the way i want to be lovedalone just my lonely heart knows howi want to be wanted wanted right nownot tomorrow but right nowi want to be wantedi want someoneto share my laughter and my tears withsomeone i knowid love to spend a million years withwhere is this someone somewhere meant for me?alone just my lonely heart knows howi want to be wanted right nownot tomorrow but right nowi want to be wantedi want someoneto share my laughter and my tears withsomeone i knowid love to spend a million years withwhere is this someone somewhere meant for me?someone somewhere meant for me"
"952","Gene Autry","It Happened In Monterey","it happened in monterey lyrics it happened in monterey a long time agoi met her in monterey in old mexicostars and steel guitars and luscious lips as red as winebroke somebodys heart and im afraid that it was mineit happened in monterey and without thinking twicei left her and through away the key to paradisemy indiscreet heart longs for the sweetheartthat i left in old monterey"
"953","Vince Staples","Lemme Know","pop it baby pop it baby dont keep me waiting keep me waitingbe my lover gon be my lover be my lady be my ladyother people other people drive me crazy drive me crazyreally got me thinking about your body about your bodyi know it was your birthday i know it was your birthdayi know i didnt call right away right awayi know it hurt you in the worst way i know it hurt you in the worst wayi know that i would change it all if you stay if you stayi know im not perfect i know im not perfecti know that everybody aint everybody aintbut if its one thing i know that i knowi know nothing at all i know nothing at allyou dont pick up when i call you dont pick up when i callill make it up by tomorrow ill make it up by tomorrowyou know that love is a brawlso ill be fighting for you ill be fighting for youpop it baby pop it baby dont keep me waiting keep me waitingbe my lover gon be my lover be my lady be my ladyother people other people drive me crazy drive me crazyreally got me thinking about your body about your bodyla-la-la-la-la la-la-la la-la-la-la-lala-la-la-la-la la-la-la la-la-la-la-lala-la-la-la-la la-la-la la-la-la-la-lala-la-la-la-la la-la-la la-la-la-la-lacan i hit it in the morning? can i hit it in the night?if i told you that i love you would you know it was a lie?pretty woman how you function with the devil in your thighs?i see heaven in your eyes i love to see you crythe drugs inside your mind got you thinking differentwhy you hiding from me? fuck your inhibitionswhy you crazy lover? think that you should be my baby-motherlet me slow it down think im kinda trippingpop it baby pop it baby dont keep me waiting keep me waitingbe my lover gon be my lover be my lady be my ladyother people other people drive me crazy drive me crazyreally got me thinking about your body about your bodyla-la-la-la-la la-la-la la-la-la-la-lala-la-la-la-la la-la-la la-la-la-la-lala-la-la-la-la la-la-la la-la-la-la-lala-la-la-la-la la-la-la la-la-la-la-laass fat can i take it out them jeans? lemme knowchurch bells sing wedding rings? lemme knowbaby girl im readywhat you ready for? lemme knowfuck the fussing fighting we should let it go lemme knowfeeling like i need you i need for you to lemme knownothing come between us i need for you to lemme knoweverybody looking for that special soulis it you?if you think its true need you lemme know baby lemme knowif you feeling right you can spend the nightwe can go anywhere you like nothing got a pricei suppose that you wasnt quite the type who be doing itfor sure we can keep it on the low take a load offsoon as you walk up in the room take your clothes offbed to the floor baby you know how it gonothing less and nothing more than what we make itconsummating for a long time til the condom breakingconversations in my head about some headyou got some commentary for a nigga?i aint tryna be too forward with you looking forward to youtryna split a couple kids maybe mortgage with youdo it all to get you so just lemme knowpop it baby pop it baby dont keep me waiting keep me waitingbe my lover gon be my lover be my lady be my ladyother people other people drive me crazy drive me crazyreally got me thinking about your body about your bodyima let you know that i got that dopebut if you take a tokeyou gon be running round trippingtil you get your hands on more yeahyou gotta be certainbefore you consider fucking mecause you hit this shit oncei know you gon be in love with me"
"955","Passenger","A Song for the Drunk and Broken Hearted","sweet sunday afternoonseptembers golden brownsummer always fades too soonlike the laughter of a clownand shadows fill the roomwhere sorrows come to drownyour hearts a lead balloonas you sink another one downi know it numbs the way you feelblurs what is right and what is realand theres no love left you can stealfor the joker laughs alongas the jesters outsmartedthe gambler tries to win back what hes lostand the sad man sings a songfor the drunk and broken heartedand the fool he never knows how much it costsweet sunday afternoonand all that can be heardis an old familiar tunethough youve forgotten half the wordsand sunlight floods the roomlike a silent flock of birdsand hopes a red balloondisappearing through the cloudsi know it numbs the way you feelblurs what is right and what is realtheres no one here to make a deal withfor the joker laughs alongand the jesters outsmartedthe gambler tries to win back what hes lostoh and the sad man he sings a songfor the drunk and broken heartedand the fool he never knows how much it costyea well the joker he laughs alongas the jesters outsmartedthe gambler tries to win back what hes lostyeah and the sad man he sings a songfor the drunk and broken heartedand the fool he never knows how much it costwell the fool he never knows how much it cost"
"958","The Killers","Lightning Fields (feat. k.d. lang)","last night i saw you dressed in whitenothing around youyou were standing in the lightningfieldof loveyou werewaiting for the lightning to comeididnt want to wake upi just wanted to run my fastestand stand beside youi just wanted to run my fastest and stand beside you inthe lightning field of lovei didnt want to wake upi just wanted to run my fastest and stand beside you inthe lightning fieldpress your face to mine name and raise againtake the car out for a driverun my fastest and stand beside you inthe lightning field of lovename and raise again press your face to minerun my fastest and name and raise againhold your hand again speak your name againover heels again tell you everythinglate at night i lie in bed and think about things left unsaid andall the things that id do different if i just had the chancedont beat yourself up you laid good groundlook at em all from scratch til sundownyou put the work in and then somewhere is all this coming from?theres no end to lovetheres no end to truththeres no end to metheres no end to youi just wanted to run my fastest and stand beside you inthe lightning field of lovepress your face to mine name and raise againtake the car out for a drivetake me with you to the other siderun my fastest and stand beside you inthe lightning field of lovename and raise again press your face to minerun my fastest and name and raise againgive my name again speak your name againbring myself to just tell you everything tell you everythingeverything"
"961","Miley Cyrus","Malibu - Alan Walker Remix","i never came to the beach or stood by the oceani never sat by the shore under the sun with my feet in the sandbut you brought me here and im happy that you didcause now im as free as birds catchin the windi always thought i would sink so i never swami never went boatin dont get how they are floatinand sometimes i get so scared of what i cant understandbut here i am next to youthe skys more blue in malibunext to you in malibunext to youwe watched the sun go down as we were walkinid spent the rest of my life just standing here talkinyou would explain the current as i just smilehoping that youll stay the same and nothing will changeand itll be us just for a whiledo they even exist?thats when i make a wish to swim away with the fishcause its supposed to be this hot all summer longi never wouldve believed you if three years ago you told meid be here writing this songbut here i am next to youthe skys so blue in malibunext to you in malibunext to younext to youthe skys so blue in malibunext to youwe are just like the waves that flow back and forthsometimes i feel like im drowningand youre there to save meand i wanna thank you with all of my heartits a brand new starta dream come true in malibu"
"967","Rudimental","Thula Ungakhlai (feat. Ladysmith Black Mambazo)","thula ungakhlai thulathula ungakhlai thulathula ungakhlai thulathula ungakhlai thulai hope someday well sit down togetherand laugh with each other about these days these daysall our troubles well lay to rest andwell wish we could come back to these days these days"
"969","Jason Derulo","Marry Me - Live from Spotify NYC","ooh ohoh yeah mmmma hundred and five is the number that comes to my headwhen i think of all the years i want to be with youwake up every morning with you in my bedthats precisely what i plan to doand you know one of these days when i get my money rightbuy you everything and show you all of the finer things in lifewell forever be in love so there aint no need to rushbut one day i wont be able to ask you loud enoughill say will you marry me?i swear that i will mean itill say will you marry me?singing oh-woahoh oh-woahoh-woahoh yeahhow many girls in the world could make me feel like this?baby i dont ever plan to find outthe more i look the more i find the reasons whyyoure the love of my lifeyou know one of these days when i get my money rightbuy you everything and show you all of the finer things in lifewell forever be in love so there aint no need to rushbut one day i wont be able to ask you loud enoughill say will you marry me?i swear that i will mean itill say will you marry me?and if i lost everythingin my heart it means nothingcause i have you girl i have youto get right down on bended kneenothing else would ever be better betterthe day when iill say will you marry me?i swear that i will mean itill say will you marry me? yeahill say will you marry me? the day i get on my kneesi swear that i will mean itill say will you marry me? and what you do to me baby?got me singing oh-woahgot me singing oh-woahwould you marry me baby? oh-woahoh-woah ayyoh-woah yeaha hundred and five is the number that comes to my headwhen i think of all the years i want to be with youwake up every morning with you in my bedthats precisely what i plan to do"
"971","TOTO","Gift of Faith (Live)","gift of faith lyrics all this pain surrounding me hopelessness is all that i see nowdoes it have to be this way?brought up on hipocrisythe seeds they sow dont last foreverthey just fade awaydont be confused by the lies of the fools and deceivershope and believe in the things that we need to survivewe ca make it if wed only take the gift of faithwe can change it if wed just accept the gift of faithtake away my dignity take away my hope and my freedomyou got a world full of ragedont cover me with apathy dont buy and sell what i believe indont lock me in a cagein a world where no ones alone trust should come easilyjust reach out your hand and ill give you minewe can make it if wed only take the gift of faithwe can change it if wed just accept the gift of faithdont be confused by the lies of the fools and deceivershope and believe in the things that we need to survivewe can make it if wed only take the gift of faithwe can change it if wed just accept the gift of faithwe can make it if wed only take the gift of faithits yours to choose but only fools refuse the gift of faith"
"972","Armin van Buuren","Burned With Desire - Riley & Durrant Vocal Mix","burned with desire lyrics for each forgotten kiss for all the memoriesfor all the times a look said all we had to sayyou played your part so well a modern romeoyou came on cupids wings and then you flew awaywhen you touch my face when you call my nameim burned with desire when you touch my facewhen you call my name im burned with desirebut you left me in the rainfor every sleepless night forever in your armsfor every hour spent lost in the reveryyou broke your promises no shame and no regretsyou burned the bridges too an endless mysterywhen you touch my face when you call my nameim burned with desire when you touch my facewhen you call my name im burned with desirebut you left me in the rain"
